team,role,elims_per_10m,damage_per_10m,healing_per_10m,time_played
NYE,tank,16.42,6858.04,5.52,98835.55
NYE,tank,16.42,6858.04,5.52,98835.55
NYE,tank,16.42,6858.04,5.52,98835.55
NYE,tank,16.42,6858.04,5.52,98835.55
